,date,user,message,only_date,year,month_num,month,day,day_name,hour,minute,period,po,ne,nu,value
1,2022-05-30 17:26:00,Yashika✨️,"Hii aditya 
Yashika here
",2022-05-30,2022,5,May,30,Monday,17,26,17-18,0.0,0.0,1.0,0
2,2022-05-30 17:26:00,Yashika✨️,"Maths ki sir ne jitni bhi derivations krwai hai bhej de
",2022-05-30,2022,5,May,30,Monday,17,26,17-18,0.0,0.0,1.0,0
3,2022-05-30 17:43:00,Aditya EC7,"<Media omitted>
",2022-05-30,2022,5,May,30,Monday,17,43,17-18,0.0,0.0,1.0,0
4,2022-05-30 17:43:00,Aditya EC7,"<Media omitted>
",2022-05-30,2022,5,May,30,Monday,17,43,17-18,0.0,0.0,1.0,0
5,2022-05-30 17:43:00,Aditya EC7,"<Media omitted>
",2022-05-30,2022,5,May,30,Monday,17,43,17-18,0.0,0.0,1.0,0
6,2022-05-30 17:44:00,Aditya EC7,"<Media omitted>
",2022-05-30,2022,5,May,30,Monday,17,44,17-18,0.0,0.0,1.0,0
7,2022-05-30 17:44:00,Aditya EC7,"<Media omitted>
",2022-05-30,2022,5,May,30,Monday,17,44,17-18,0.0,0.0,1.0,0
8,2022-05-30 17:44:00,Aditya EC7,"<Media omitted>
",2022-05-30,2022,5,May,30,Monday,17,44,17-18,0.0,0.0,1.0,0
9,2022-05-30 17:44:00,Aditya EC7,"<Media omitted>
",2022-05-30,2022,5,May,30,Monday,17,44,17-18,0.0,0.0,1.0,0
10,2022-05-30 17:44:00,Aditya EC7,"<Media omitted>
",2022-05-30,2022,5,May,30,Monday,17,44,17-18,0.0,0.0,1.0,0
11,2022-05-30 17:48:00,Aditya EC7,"Ye heat equation and wave equation ki derivation hai aur kiski chaiye?
",2022-05-30,2022,5,May,30,Monday,17,48,17-18,0.0,0.0,1.0,0
12,2022-05-30 18:13:00,Yashika✨️,"Linear algebra ki bhi hai toh bhej de
",2022-05-30,2022,5,May,30,Monday,18,13,18-19,0.0,0.0,1.0,0
13,2022-05-30 18:24:00,Aditya EC7,"Yr linear algebra mein to nhi hai koi derivation
",2022-05-30,2022,5,May,30,Monday,18,24,18-19,0.0,0.0,1.0,0
14,2022-05-30 18:25:00,Aditya EC7,"<Media omitted>
",2022-05-30,2022,5,May,30,Monday,18,25,18-19,0.0,0.0,1.0,0
15,2022-05-30 18:25:00,Aditya EC7,"<Media omitted>
",2022-05-30,2022,5,May,30,Monday,18,25,18-19,0.0,0.0,1.0,0
16,2022-05-30 18:26:00,Aditya EC7,"Ek ye hai convolution theorem ki laplace mei
",2022-05-30,2022,5,May,30,Monday,18,26,18-19,0.0,0.0,1.0,0
17,2022-05-30 19:20:00,Yashika✨️,"Okk...thnku
",2022-05-30,2022,5,May,30,Monday,19,20,19-20,0.0,0.0,1.0,0
18,2022-05-30 19:41:00,Aditya EC7,"Np👍✌️
",2022-05-30,2022,5,May,30,Monday,19,41,19-20,0.0,0.0,1.0,0
19,2022-05-30 20:12:00,Aditya EC7,"Derivations bhi krke jaani hai kya sabki?
",2022-05-30,2022,5,May,30,Monday,20,12,20-21,0.0,0.0,1.0,0
20,2022-05-30 21:08:00,Yashika✨️,"Aree nhi but pta toh hona chahiye na ki class mei krwaya kya hai😂
",2022-05-30,2022,5,May,30,Monday,21,8,21-22,0.0,0.0,1.0,0
21,2022-05-30 21:10:00,Aditya EC7,"Ok😂
",2022-05-30,2022,5,May,30,Monday,21,10,21-22,0.0,0.0,1.0,0
22,2022-05-30 21:10:00,Aditya EC7,"Vese abhimanyu bol rha tha ki heat and wave equation ki derivation likhni hai agr ques 7 marks ka aaye to
",2022-05-30,2022,5,May,30,Monday,21,10,21-22,0.0,0.0,1.0,0
23,2022-05-30 21:11:00,Aditya EC7,"Sir ne kaha hai ki agr 7 marks ke ques mein direct result use krke answer likh ke aaoge to he'll give 2 marks
",2022-05-30,2022,5,May,30,Monday,21,11,21-22,0.0,0.0,1.0,0
24,2022-05-30 22:04:00,Yashika✨️,"Sirf heat and wave equation Wali derivation krni hai or toh koi ni krni na?
",2022-05-30,2022,5,May,30,Monday,22,4,22-23,0.0,0.0,1.0,0
25,2022-05-30 22:05:00,Aditya EC7,"Uske baad convolution hi bachi hai 😂
",2022-05-30,2022,5,May,30,Monday,22,5,22-23,0.0,0.0,1.0,0
26,2022-05-30 22:06:00,Aditya EC7,"Aj shorya bola ki agr time Mila to krlete hai vo bhi jab itna krliya to
",2022-05-30,2022,5,May,30,Monday,22,6,22-23,0.0,0.0,1.0,0
27,2022-05-30 22:06:00,Yashika✨️,"Mtlb sari hi krni hai😂😂
",2022-05-30,2022,5,May,30,Monday,22,6,22-23,0.0,0.0,1.0,0
28,2022-05-30 22:06:00,Yashika✨️,"👍👍
",2022-05-30,2022,5,May,30,Monday,22,6,22-23,0.0,0.0,1.0,0
29,2022-05-30 22:07:00,Aditya EC7,"Abhi to nhi kari mene
",2022-05-30,2022,5,May,30,Monday,22,7,22-23,0.0,0.0,1.0,0
30,2022-05-30 22:08:00,Aditya EC7,"Abhi ekbar sab ho jaye fir last mein dkehunga derivations
",2022-05-30,2022,5,May,30,Monday,22,8,22-23,0.0,0.0,1.0,0
31,2022-05-30 22:08:00,Yashika✨️,"Ohkk
",2022-05-30,2022,5,May,30,Monday,22,8,22-23,0.0,0.0,1.0,0
32,2022-05-30 22:09:00,Yashika✨️,"Maine bhi strt hi kra hai
",2022-05-30,2022,5,May,30,Monday,22,9,22-23,0.0,0.0,1.0,0
33,2022-05-30 22:09:00,Aditya EC7,"Abhi Maths start kri hai?
",2022-05-30,2022,5,May,30,Monday,22,9,22-23,0.0,0.0,1.0,0
34,2022-05-30 22:09:00,Yashika✨️,"Yess😅
",2022-05-30,2022,5,May,30,Monday,22,9,22-23,0.0,0.0,1.0,0
35,2022-05-30 22:09:00,Aditya EC7,"Jaldi ni shuru krdi thori😂
",2022-05-30,2022,5,May,30,Monday,22,9,22-23,0.0,0.0,1.0,0
36,2022-05-30 22:10:00,Yashika✨️,"Ed k chakr mei late ho gyi
",2022-05-30,2022,5,May,30,Monday,22,10,22-23,0.0,0.0,1.0,0
37,2022-05-30 22:10:00,Aditya EC7,"Acha
",2022-05-30,2022,5,May,30,Monday,22,10,22-23,0.0,0.0,1.0,0
38,2022-05-30 22:10:00,Yashika✨️,"Hm
",2022-05-30,2022,5,May,30,Monday,22,10,22-23,0.0,0.0,1.0,0
39,2022-05-30 22:10:00,Aditya EC7,"Kro kro all the best
",2022-05-30,2022,5,May,30,Monday,22,10,22-23,0.512,0.0,0.488,1
40,2022-05-30 22:12:00,Yashika✨️,"Hm ..thnku😂
",2022-05-30,2022,5,May,30,Monday,22,12,22-23,0.0,0.0,1.0,0
41,2022-06-01 18:05:00,Aditya EC7,"Yashika tumhare paas mechanics ke Tut 8 ke solutions hai?
",2022-06-01,2022,6,June,1,Wednesday,18,5,18-19,0.175,0.0,0.825,0
42,2022-06-01 18:09:00,Yashika✨️,"Nhii
",2022-06-01,2022,6,June,1,Wednesday,18,9,18-19,0.0,0.0,1.0,0
43,2022-06-01 18:09:00,Yashika✨️,"But agr mile toh bhej dungi
",2022-06-01,2022,6,June,1,Wednesday,18,9,18-19,0.0,0.0,1.0,0
44,2022-06-01 18:09:00,Aditya EC7,"Okk
",2022-06-01,2022,6,June,1,Wednesday,18,9,18-19,0.0,0.0,1.0,0
45,2022-06-02 13:08:00,Yashika✨️,"D Alembert principle mechanics k syllabus mei hai??
",2022-06-02,2022,6,June,2,Thursday,13,8,13-14,0.0,0.0,1.0,0
46,2022-06-02 13:22:00,Aditya EC7,"Nope
",2022-06-02,2022,6,June,2,Thursday,13,22,13-14,0.0,0.0,1.0,0
47,2022-06-02 14:06:00,Yashika✨️,"Method of section se virtual work tk hai na
",2022-06-02,2022,6,June,2,Thursday,14,6,14-15,0.0,0.0,1.0,0
48,2022-06-02 14:10:00,Aditya EC7,"Yup
",2022-06-02,2022,6,June,2,Thursday,14,10,14-15,0.0,0.0,1.0,0
49,2022-06-02 14:11:00,Yashika✨️,"Tere pass mechanics ki tutorial sheets hai?
",2022-06-02,2022,6,June,2,Thursday,14,11,14-15,0.0,0.0,1.0,0
